Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/08/29,"2,032.35",-5.15,-0.25,"2,028.64","2,034.63","2,024.93","316,969","3,843,485,706,601","1,295,847,422,741,292"
2016/08/30,"2,039.74",7.39,0.36,"2,038.60","2,049.99","2,036.76","378,564","3,817,975,140,261","1,300,619,796,979,674"
2016/08/31,"2,034.65",-5.09,-0.25,"2,038.58","2,041.17","2,027.24","400,953","5,485,909,182,279","1,296,942,351,420,588"
2016/09/01,"2,032.72",-1.93,-0.09,"2,022.96","2,032.72","2,016.47","300,506","4,373,706,285,911","1,294,938,067,501,490"
2016/09/02,"2,038.31",5.59,0.28,"2,033.92","2,039.18","2,030.17","342,631","3,937,152,194,068","1,298,805,435,403,183"
2016/09/05,"2,060.08",21.77,1.07,"2,049.19","2,061.00","2,047.49","572,967","4,127,936,026,210","1,312,321,591,477,520"
2016/09/06,"2,066.53",6.45,0.31,"2,058.21","2,067.77","2,057.26","462,550","4,096,682,366,599","1,317,208,171,653,176"
2016/09/07,"2,061.88",-4.65,-0.23,"2,068.81","2,073.89","2,061.88","687,157","5,053,397,177,080","1,313,591,171,073,267"
2016/09/08,"2,063.73",1.85,0.09,"2,064.96","2,070.66","2,053.20","656,653","5,643,674,679,101","1,315,372,675,780,331"
2016/09/09,"2,037.87",-25.86,-1.25,"2,048.94","2,049.30","2,029.46","392,683","4,373,805,765,313","1,298,073,356,671,366"
2016/09/12,"1,991.48",-46.39,-2.28,"2,003.67","2,011.04","1,991.47","422,882","4,815,792,027,203","1,267,336,204,181,235"
2016/09/13,"1,999.36",7.88,0.4,"2,011.93","2,013.03","1,997.58","437,425","5,146,692,596,505","1,273,899,302,334,215"
2016/09/19,"2,015.78",16.42,0.82,"1,997.43","2,019.45","1,997.10","434,438","4,961,594,731,263","1,284,707,656,655,351"
2016/09/20,"2,025.71",9.93,0.49,"2,014.50","2,026.56","2,010.25","362,345","4,186,376,609,890","1,291,619,684,661,584"
2016/09/21,"2,035.99",10.28,0.51,"2,022.81","2,035.99","2,021.78","525,097","4,132,886,816,962","1,298,121,408,632,373"
2016/09/22,"2,049.70",13.71,0.67,"2,050.31","2,060.26","2,048.80","447,589","4,259,943,037,222","1,307,437,444,492,960"
2016/09/23,"2,054.07",4.37,0.21,"2,053.22","2,057.35","2,048.96","494,113","4,536,562,655,525","1,308,797,963,159,832"
2016/09/26,"2,047.11",-6.96,-0.34,"2,052.76","2,060.71","2,042.70","359,616","3,691,390,234,782","1,304,055,998,374,814"
2016/09/27,"2,062.82",15.71,0.77,"2,037.32","2,064.89","2,031.13","664,041","4,712,693,412,396","1,313,691,310,546,471"
2016/09/28,"2,053.06",-9.76,-0.47,"2,062.57","2,062.98","2,051.68","546,450","4,045,607,123,172","1,307,468,512,836,509"
2016/09/29,"2,068.72",15.66,0.76,"2,063.74","2,072.09","2,063.74","416,169","4,543,938,995,464","1,318,000,053,239,014"
2016/09/30,"2,043.63",-25.09,-1.21,"2,054.25","2,056.33","2,042.77","326,387","5,739,237,973,641","1,301,803,836,991,218"
2016/10/04,"2,054.86",11.23,0.55,"2,056.94","2,059.25","2,050.46","318,854","5,019,206,208,039","1,309,647,620,162,197"
2016/10/05,"2,053.00",-1.86,-0.09,"2,043.37","2,056.01","2,036.87","292,345","4,329,764,065,434","1,308,641,459,480,053"
2016/10/06,"2,065.30",12.3,0.6,"2,069.30","2,070.43","2,055.83","337,709","5,358,434,663,351","1,317,306,737,695,415"
2016/10/07,"2,053.80",-11.5,-0.56,"2,065.95","2,067.49","2,051.60","422,447","5,403,372,850,156","1,309,944,963,478,097"
2016/10/10,"2,056.82",3.02,0.15,"2,047.19","2,058.73","2,039.99","314,896","4,666,619,143,706","1,309,006,187,247,656"
2016/10/11,"2,031.93",-24.89,-1.21,"2,053.29","2,060.78","2,030.51","343,216","5,340,941,471,093","1,291,827,779,971,093"
2016/10/12,"2,033.73",1.8,0.09,"2,022.97","2,037.02","2,022.39","297,373","4,832,127,236,066","1,293,160,803,641,247"
2016/10/13,"2,015.44",-18.29,-0.9,"2,033.99","2,035.93","2,014.89","440,256","4,507,630,449,134","1,281,839,996,639,888"
2016/10/14,"2,022.66",7.22,0.36,"2,021.66","2,028.76","2,021.11","458,904","4,189,365,561,074","1,286,279,150,905,462"
2016/10/17,"2,027.61",4.95,0.24,"2,028.93","2,033.56","2,011.81","333,402","3,750,746,186,620","1,289,531,338,120,003"
2016/10/18,"2,040.43",12.82,0.63,"2,027.81","2,040.72","2,026.47","305,931","3,906,403,897,120","1,297,652,128,141,729"
